date,CCS,Coal(KG/T),Bentonite(KG/T),Organic binder(KG,Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,Fixed Carbon of Coal (%),production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
05-06-2023,186,13.3,6.05,139.3333333,12.54,3.016666667,504.8333333,3.1,900,1000,1100,1180,1260,1200,1200,1120,83.21,12560,93.51,4.67,12.29,24.65,62.76,63.4
05-02-2023,182,12.63,4.83,300,13.05,3,503,3.3,900,1000,1100,1180,1260,1200,1200,1120,83.09,12830,92.95,5.39,12.32,23.82,62.82,63.53
05-04-2023,185,12.6,6.15,200,11.6,3.04,500,3.2,900,1000,1100,1180,1260,1200,1200,1120,81.85,13015,93.26,5.12,12.17,23.92,62.77,63.47
05-03-2023,186,12.86,4.98,250,12.27,3,514.6666667,3.3,900,1000,1100,1180,1260,1200,1200,1120,83.51,13065,93.43,4.71,12.33,23.9,62.77,63.52
14-Mar,186,11.06,3.66,516,11,2.75,512.6666667,3.666666667,900,1000,1100,1200,1250,1280,1200,1116.666667,88.9,12020,93.54,4.91,12.22,23.03,62.94,63.62
31-Jan,193,13.91,5.92,0,14,2.676666667,496.6666667,3.416666667,910,1050,1200,1250,1300,1300,1280,1113.333333,83.67,11142,93.06,5.15,12.11,23.48,61.92,62.78
21-Mar,193,10.56,4.93,,21,2.743333333,484,3.3,900,1010,1110,1200,1270,1280,1200,1110,82.03959788,1420,93.45,4.87,12.32,23.07,62.47,63.3
08-11-2023,194,13.53,3.85,575,15.74,2.833333333,477,3.166666667,920,1020,1120,1230,1300,1200,1200,1110,84.72,11160,93.36,5.04,12.08,23.72,61.99,63.08
05-07-2023,187,13.28,5.65,0,11.7,3.18,509.3333333,3.05,900,1000,1100,1180,1260,1200,1200,1110,83.55,12575,92.5,5.32,12.42,23.73,62.67,63.39
05-10-2023,184,12.34,6.02,333,12.19,3.05,517.6666667,2.9,900,1000,1100,1180,1260,1200,1200,1110,83.79,12965,92.82,4.92,12.27,23.72,62.73,63.41
05-08-2023,189,13.23,5.63,516.8214286,12.13,3.09,509.1666667,3.05,900,1000,1100,1180,1260,1200,1200,1110,83.93,13150,92.68,5.34,12.53,23.61,62.82,63.56
01-Feb,192,13.59,5.9,0,20,2.703333333,499.1666667,3.366666667,916.6666667,916.6666667,1030,1186.666667,1256.666667,1300,1286.666667,1100,84.51,3900,93.16,5.03,11.88,23.63,61.83,62.6
8/21/2023,198,12.45,3.93,225,20.1,2.68,480,3.4,900,1000,1110,1200,1280,1200,1200,1100,0,4580,93.47,4.45,12.11,23.56,62.33,63.25
8/18/2023,202,12.32,4.03,475,15.88,2.74,460,3.1,900,1000,1110,1200,1280,1200,1200,1100,83.36,9170,93.68,4.43,12.26,23.53,62.29,63.17
8/19/2023,201,12.38,3.98,450,15.52,2.52,459,3.1,900,1000,1110,1200,1280,1200,1200,1100,82.78,9290,93.65,4.58,12.41,23.48,62.24,63.21
8/20/2023,198,12.83,4.03,475,15.38,2.87,460,3.4,900,1000,1100,1200,1260,1200,1200,1100,83.18,9430,93.53,4.99,12.27,23.67,62.4,63.27
